datetime,open,low,high,close,volume
2024-01-04 11:06,470.11,470.0515,470.16,470.14,55404
2024-01-04 11:07,470.145,469.98,470.155,470.07,72886
2024-01-04 11:08,470.06,470.05,470.155,470.14,76099
2024-01-04 11:09,470.1301,470.11,470.1898,470.18,57672
2024-01-04 11:10,470.18,470.135,470.37,470.35,249855
2024-01-04 11:11,470.35,470.31,470.54,470.51,121827
2024-01-04 11:12,470.508,470.47,470.59,470.49,149732
2024-01-04 11:13,470.48,470.46,470.61,470.61,130131
2024-01-04 11:14,470.6,470.585,470.83,470.75,275253
2024-01-04 11:15,470.76,470.71,470.905,470.74,229989
2024-01-04 11:16,470.75,470.75,470.96,470.88,180458
2024-01-04 11:17,470.88,470.755,470.93,470.78,134230
2024-01-04 11:18,470.77,470.68,470.835,470.69,104507
2024-01-04 11:19,470.7,470.6,470.77,470.6101,118423
2024-01-04 11:20,470.62,470.615,470.7,470.695,102457
2024-01-04 11:21,470.7,470.635,470.73,470.675,66319
2024-01-04 11:22,470.675,470.652,470.775,470.72,77343
2024-01-04 11:23,470.73,470.68,470.85,470.845,70784
2024-01-04 11:24,470.835,470.79,470.87,470.85,131928
2024-01-04 11:25,470.855,470.81,470.9,470.875,72236
2024-01-04 11:26,470.88,470.88,470.96,470.905,85641
2024-01-04 11:27,470.91,470.81,470.91,470.87,78848
2024-01-04 11:28,470.86,470.775,470.92,470.795,129433
2024-01-04 11:29,470.79,470.58,470.7995,470.65,178492
2024-01-04 11:30,470.66,470.4524,470.725,470.56,221006
2024-01-04 11:31,470.56,470.365,470.57,470.38,228959
2024-01-04 11:32,470.375,470.3201,470.525,470.45,138954
2024-01-04 11:33,470.44,470.43,470.57,470.51,90812
2024-01-04 11:34,470.51,470.41,470.5364,470.465,60139
2024-01-04 11:35,470.46,470.44,470.59,470.55,59927
2024-01-04 11:36,470.56,470.56,470.68,470.68,48597
2024-01-04 11:37,470.6817,470.68,470.82,470.78,99952
2024-01-04 11:38,470.79,470.5,470.8,470.561,150817
2024-01-04 11:39,470.557,470.4601,470.705,470.55,75505
2024-01-04 11:40,470.53,470.43,470.53,470.5,91629
2024-01-04 11:41,470.5124,470.41,470.52,470.47,73630
2024-01-04 11:42,470.465,470.285,470.5,470.32,133137
2024-01-04 11:43,470.32,470.25,470.39,470.35,145648
2024-01-04 11:44,470.34,470.29,470.4,470.2999,71360
2024-01-04 11:45,470.3,470.19,470.32,470.29,105290
2024-01-04 11:46,470.28,470.09,470.3988,470.15,154595
2024-01-04 11:47,470.16,470.07,470.23,470.13,81353
2024-01-04 11:48,470.12,470.12,470.2495,470.13,79401
2024-01-04 11:49,470.12,470.02,470.14,470.04,98363
2024-01-04 11:50,470.05,469.67,470.06,469.8304,241325
2024-01-04 11:51,469.86,469.77,469.89,469.79,139522
2024-01-04 11:52,469.79,469.46,469.795,469.59,251649
2024-01-04 11:53,469.59,469.555,469.74,469.7099,157677
2024-01-04 11:54,469.7,469.7,469.79,469.77,110979
2024-01-04 11:55,469.77,469.63,469.77,469.765,115788
2024-01-04 11:56,469.755,469.7,469.8,469.78,67802
2024-01-04 11:57,469.785,469.74,469.86,469.76,62514
2024-01-04 11:58,469.76,469.65,469.82,469.72,77856
2024-01-04 11:59,469.73,469.6406,469.76,469.72,67808
2024-01-04 12:00,469.72,469.69,469.8382,469.7597,58986
2024-01-04 12:01,469.76,469.7,469.795,469.725,72505
2024-01-04 12:02,469.72,469.45,469.72,469.49,108037
2024-01-04 12:03,469.495,469.26,469.5,469.42,191599
2024-01-04 12:04,469.42,469.4097,469.61,469.57,94500
2024-01-04 12:05,469.56,469.51,469.68,469.62,87292
2024-01-04 12:06,469.59,469.43,469.59,469.45,65209
2024-01-04 12:07,469.45,469.4205,469.52,469.5,67859
2024-01-04 12:08,469.51,469.375,469.51,469.44,153812
2024-01-04 12:09,469.44,469.4001,469.53,469.4812,67687
2024-01-04 12:10,469.48,469.42,469.65,469.59,216970
2024-01-04 12:11,469.6,469.568,469.7,469.63,97160
2024-01-04 12:12,469.64,469.58,469.7308,469.7097,67830
2024-01-04 12:13,469.7,469.6701,469.77,469.75,92221
2024-01-04 12:14,469.75,469.6,469.78,469.6099,64040
2024-01-04 12:15,469.6,469.52,469.6,469.565,139107
2024-01-04 12:16,469.57,469.4201,469.605,469.44,55889
2024-01-04 12:17,469.45,469.35,469.55,469.46,62708
2024-01-04 12:18,469.46,469.42,469.6182,469.52,51013
2024-01-04 12:19,469.52,469.46,469.6,469.5988,49486
2024-01-04 12:20,469.61,469.55,469.735,469.7306,79969
2024-01-04 12:21,469.73,469.54,469.775,469.5501,82652
2024-01-04 12:22,469.56,469.48,469.645,469.5,57085
2024-01-04 12:23,469.5,469.44,469.57,469.52,64205
2024-01-04 12:24,469.52,469.42,469.53,469.47,117099
2024-01-04 12:25,469.5,469.465,469.68,469.6101,55884
2024-01-04 12:26,469.62,469.55,469.6604,469.61,59029
2024-01-04 12:27,469.61,469.61,469.725,469.69,53903
2024-01-04 12:28,469.69,469.45,469.69,469.53,118183
2024-01-04 12:29,469.52,469.52,469.61,469.61,83947
2024-01-04 12:30,469.6088,469.335,469.62,469.34,99618
2024-01-04 12:31,469.345,469.105,469.371,469.36,161082
2024-01-04 12:32,469.35,469.19,469.36,469.31,167569
2024-01-04 12:33,469.31,469.26,469.39,469.26,59161
2024-01-04 12:34,469.26,469.1712,469.29,469.21,40378
2024-01-04 12:35,469.2,469.03,469.25,469.245,229249
2024-01-04 12:36,469.25,469.24,469.35,469.35,82210
2024-01-04 12:37,469.35,469.25,469.35,469.34,44026
2024-01-04 12:38,469.35,469.345,469.475,469.435,92417
2024-01-04 12:39,469.44,469.38,469.465,469.42,37644
2024-01-04 12:40,469.41,469.25,469.41,469.275,63936
2024-01-04 12:41,469.27,469.24,469.4272,469.405,75800
2024-01-04 12:42,469.41,469.35,469.4185,469.39,80950
2024-01-04 12:43,469.39,469.18,469.39,469.235,95997
2024-01-04 12:44,469.24,468.92,469.25,469.0299,132995
2024-01-04 12:45,469.03,468.665,469.04,468.7201,194937
2024-01-04 12:46,468.7287,468.67,468.89,468.87,162714
2024-01-04 12:47,468.88,468.81,468.9201,468.915,64268
2024-01-04 12:48,468.91,468.7901,468.93,468.865,50975
2024-01-04 12:49,468.88,468.84,469.02,469.015,84434
2024-01-04 12:50,469.01,468.82,469.015,468.87,75661
2024-01-04 12:51,468.865,468.8283,468.94,468.91,47299
2024-01-04 12:52,468.92,468.91,469.06,468.95,99002
2024-01-04 12:53,468.96,468.96,469.205,469.13,214447
2024-01-04 12:54,469.14,469.13,469.2105,469.1869,77331
2024-01-04 12:55,469.18,468.91,469.18,468.9395,89280
2024-01-04 12:56,468.925,468.91,469.015,468.9297,74012
2024-01-04 12:57,468.93,468.86,468.995,468.96,65130
2024-01-04 12:58,468.95,468.91,469.06,469.045,79377
2024-01-04 12:59,469.04,469.04,469.16,469.132,52928
2024-01-04 13:00,469.13,469.04,469.18,469.04,51581
2024-01-04 13:01,469.04,469.03,469.19,469.18,78338
2024-01-04 13:02,469.18,469.06,469.18,469.06,42250
2024-01-04 13:03,469.05,469.026,469.09,469.07,42953
2024-01-04 13:04,469.0794,469.0794,469.235,469.2297,54422
2024-01-04 13:05,469.2216,469.13,469.28,469.151,89200
2024-01-04 13:06,469.16,469.095,469.31,469.28,73819
2024-01-04 13:07,469.29,469.17,469.33,469.215,131138
2024-01-04 13:08,469.2,469.165,469.3588,469.29,87726
2024-01-04 13:09,469.28,469.25,469.34,469.27,47944
2024-01-04 13:10,469.27,469.175,469.27,469.265,50002
2024-01-04 13:11,469.265,469.13,469.32,469.1392,47291
2024-01-04 13:12,469.139,468.97,469.16,469.0123,109310
2024-01-04 13:13,469.03,468.98,469.21,469.21,49168
2024-01-04 13:14,469.2098,469.2098,469.31,469.2388,75069
2024-01-04 13:15,469.22,469.12,469.225,469.13,63117
2024-01-04 13:16,469.13,469.025,469.25,469.23,46753
2024-01-04 13:17,469.24,469.22,469.34,469.273,35858
2024-01-04 13:18,469.27,469.23,469.3,469.295,38001
2024-01-04 13:19,469.28,469.13,469.28,469.1406,23612
2024-01-04 13:20,469.13,469.1,469.29,469.2699,57510
2024-01-04 13:21,469.28,469.22,469.3,469.27,29775
2024-01-04 13:22,469.2699,469.16,469.2699,469.22,43893
2024-01-04 13:23,469.22,469.185,469.345,469.3283,60601
2024-01-04 13:24,469.32,469.2,469.34,469.2201,69949
2024-01-04 13:25,469.22,469.22,469.33,469.32,97449
2024-01-04 13:26,469.32,469.3009,469.41,469.405,100774
2024-01-04 13:27,469.4,469.3,469.41,469.41,57225
2024-01-04 13:28,469.41,469.26,469.4103,469.29,59764
2024-01-04 13:29,469.28,469.1903,469.34,469.3201,40064
2024-01-04 13:30,469.33,469.33,469.43,469.4202,43874
2024-01-04 13:31,469.425,469.31,469.455,469.36,52066
2024-01-04 13:32,469.34,469.2701,469.405,469.36,36986
2024-01-04 13:33,469.35,469.32,469.39,469.335,44767
2024-01-04 13:34,469.33,469.21,469.33,469.325,105278
2024-01-04 13:35,469.32,469.19,469.35,469.34,65819
2024-01-04 13:36,469.335,469.2711,469.415,469.38,69738
2024-01-04 13:37,469.37,469.185,469.3799,469.185,48375
2024-01-04 13:38,469.19,469.08,469.245,469.142,156423
2024-01-04 13:39,469.14,469.125,469.265,469.24,75243
2024-01-04 13:40,469.235,469.23,469.39,469.295,42612
2024-01-04 13:41,469.3,469.147,469.3,469.21,32541
2024-01-04 13:42,469.2199,469.2199,469.3871,469.33,47592
2024-01-04 13:43,469.34,469.26,469.3783,469.35,40210
2024-01-04 13:44,469.35,469.35,469.44,469.3808,61230
2024-01-04 13:45,469.4,469.37,469.46,469.385,63521
2024-01-04 13:46,469.39,469.31,469.415,469.32,54959
2024-01-04 13:47,469.3,469.27,469.39,469.35,47300
2024-01-04 13:48,469.35,469.285,469.45,469.44,48300
2024-01-04 13:49,469.45,469.35,469.46,469.36,48650
2024-01-04 13:50,469.36,469.36,469.47,469.4399,290015
2024-01-04 13:51,469.43,469.165,469.44,469.201,46422
2024-01-04 13:52,469.23,469.14,469.4,469.37,84069
2024-01-04 13:53,469.37,469.2201,469.4,469.33,68431
2024-01-04 13:54,469.271,469.13,469.2802,469.14,37196
2024-01-04 13:55,469.15,469.1,469.23,469.13,63267
2024-01-04 13:56,469.14,468.9701,469.14,469.06,108578
2024-01-04 13:57,469.06,469.06,469.2901,469.24,64834
2024-01-04 13:58,469.24,469.12,469.24,469.14,61338
2024-01-04 13:59,469.14,469.02,469.165,469.07,47774
2024-01-04 14:00,469.08,469.04,469.21,469.14,101604
2024-01-04 14:01,469.14,469.13,469.33,469.31,128916
2024-01-04 14:02,469.309,469.13,469.32,469.13,92477
2024-01-04 14:03,469.12,468.97,469.13,469.04,111691
2024-01-04 14:04,469.04,468.93,469.05,468.985,90201
2024-01-04 14:05,468.99,468.91,469.06,468.99,222379
2024-01-04 14:06,468.99,468.84,468.99,468.97,244752
2024-01-04 14:07,468.97,468.95,469.09,469.06,194070
2024-01-04 14:08,469.05,468.89,469.1,468.95,164691
2024-01-04 14:09,468.94,468.84,468.96,468.86,146946
2024-01-04 14:10,468.86,468.64,468.9,468.66,252154
2024-01-04 14:11,468.645,468.6201,468.7901,468.7901,224590
2024-01-04 14:12,468.81,468.72,469,468.92,140632
2024-01-04 14:13,468.925,468.9,469.045,468.99,103388
2024-01-04 14:14,468.99,468.91,469.065,468.9975,102492
2024-01-04 14:15,468.99,468.97,469.1401,469.11,384451
2024-01-04 14:16,469.1108,468.93,469.115,469.015,88137
2024-01-04 14:17,469.02,468.9199,469.05,468.99,68110
2024-01-04 14:18,468.98,468.965,469.0705,469.0326,366635
2024-01-04 14:19,469.03,468.74,469.03,468.74,120655
2024-01-04 14:20,468.765,468.67,468.78,468.77,179686
2024-01-04 14:21,468.78,468.73,468.9137,468.86,118919
2024-01-04 14:22,468.87,468.765,468.9,468.765,97945
2024-01-04 14:23,468.76,468.64,468.7711,468.705,190928
2024-01-04 14:24,468.705,468.52,468.71,468.605,216708
2024-01-04 14:25,468.605,468.5096,468.74,468.6999,378390
2024-01-04 14:26,468.69,468.535,468.7381,468.63,118927
2024-01-04 14:27,468.6301,468.58,468.705,468.63,91830
2024-01-04 14:28,468.63,468.57,468.7692,468.705,133500
2024-01-04 14:29,468.71,468.54,468.7182,468.5799,89605
2024-01-04 14:30,468.57,468.41,468.57,468.45,171249
2024-01-04 14:31,468.46,468.44,468.5299,468.495,358990
2024-01-04 14:32,468.5,468.43,468.535,468.47,132055
2024-01-04 14:33,468.47,468.4,468.525,468.5212,407548
2024-01-04 14:34,468.51,468.51,468.665,468.6,120388
2024-01-04 14:35,468.58,468.435,468.61,468.58,82938
2024-01-04 14:36,468.5701,468.4616,468.5701,468.53,67518
2024-01-04 14:37,468.52,468.5,468.61,468.52,80763
2024-01-04 14:38,468.52,468.4426,468.6,468.4785,78196
2024-01-04 14:39,468.46,468.413,468.51,468.51,70680
